Year,Revenue,Expenses,Profit,Share Capital,Inventoris,Date,ID
2018,1076.3M,993.4M,59.8M,500000,61703483,31-12-2018,1
2019,2407.4M,2283.5M,87.3M,551090,331255653,31-12-2019,2
2020,7041.3M,6375.7M,495.2M,551090,807921873,31-12-2020,3
2021,15312.7M,14207.8M,779.3M,93543750,332189553,31-12-2021,4
2022,28730.M,27870.M,687.M,200000000,64521154521,31-12-2022,5
