,FY20,FY19
EBITDA Margin ,10.71%,6.00%
Asessts Turn over ration,0.19x,0.24x
Inventory Turnover Rato,12.4x,12.2x
Expenditure Over Revenue,0.91,0.954
ROCE,112.48%,61.24%
