Year,Revenue,Expenses,Profit,Share Capital,Inventories,Date,ID
2018,1076290872,993429003,59756285,500000,61703483,31-12-2018,1
2019,2407439044,2283474990,87295583,551090,331255653,31-12-2019,2
2020,7041298105,6375676085,495227367,551090,807921873,31-12-2020,3
2021,15312698770,14207752132,779274556,93543750,3321289553,31-12-2021,4
2022,28730000000,27870000000,687000000,200000000,64521154521,31-12-2022,5
